           t           r         psi          cs          qs           p         sig           A           V          Q2           R           U           S           x         xcm
    0.442308    0.817935    0.018270   -0.042425    0.000000   -2.255822    1.783524    5.359347    1.616862    0.000029    0.829847    0.002413    3.384340   -0.188679   -0.239108
    0.451923    0.817320    0.019507   -0.032662    0.000000   -2.251062    1.792332    5.526525    1.685194    0.000029    0.829522    0.002413    3.384340   -0.156144   -0.242069
    0.461538    0.816670    0.020372   -0.020543    0.000000   -2.241782    1.800956    5.693573    1.753420    0.000030    0.829197    0.002413    3.384340   -0.123608   -0.244467
    0.471154    0.815998    0.020863   -0.010173    0.000000   -2.235258    1.809341    5.860486    1.821533    0.000031    0.828871    0.002413    3.384340   -0.091074   -0.246304
    0.480769    0.815315    0.021072   -0.003274    0.000000   -2.234616    1.817469    6.027259    1.889534    0.000032    0.828546    0.002413    3.384340   -0.058539   -0.247583
    0.490385    0.814629    0.021117   -0.000103    0.000000   -2.240393    1.825341    6.193893    1.957419    0.000033    0.828221    0.002413    3.384340   -0.026004   -0.248304
    0.500000    0.813942    0.021115   -0.000264    0.000000   -2.251949    1.832970    6.360387    2.025191    0.000033    0.827895    0.002413    3.384340    0.006530   -0.248470
    0.509615    0.813254    0.021165   -0.003251    0.000000   -2.268445    1.840368    6.526740    2.092848    0.000034    0.827570    0.002413    3.384340    0.039064   -0.248082
    0.519231    0.812563    0.021354   -0.008767    0.000000   -2.289409    1.847548    6.692952    2.160390    0.000035    0.827245    0.002413    3.384340    0.071599   -0.247143
    0.528846    0.811862    0.021764   -0.016881    0.000000   -2.315033    1.854511    6.859021    2.227817    0.000036    0.826919    0.002413    3.384340    0.104133   -0.245655
    0.538462    0.811143    0.022486   -0.028097    0.000000   -2.346317    1.861250    7.024946    2.295125    0.000037    0.826594    0.002413    3.384340    0.136667   -0.243618
    0.548077    0.810394    0.023636   -0.043385    0.000000   -2.385127    1.867747    7.190721    2.362310    0.000037    0.826269    0.002413    3.384340    0.169200   -0.241036
    0.557692    0.809599    0.025369   -0.064167    0.000000   -2.434191    1.873969    7.356339    2.429365    0.000038    0.825943    0.002413    3.384340    0.201732   -0.237911
    0.567308    0.808735    0.027892   -0.092271    0.000000   -2.497009    1.879868    7.521787    2.496279    0.000039    0.825618    0.002413    3.384340    0.234262   -0.234245
    0.576923    0.807772    0.031476   -0.129793    0.000000   -2.577605    1.885382    7.687049    2.563038    0.000040    0.825293    0.002413    3.384340    0.266790   -0.230043
    0.586538    0.806671    0.036464   -0.178828    0.000000   -2.680003    1.890433    7.852101    2.629617    0.000040    0.824967    0.002413    3.384340    0.299313   -0.225307
    0.596154    0.805380    0.043258   -0.241020    0.000000   -2.807361    1.894934    8.016909    2.695986    0.000041    0.824642    0.002413    3.384340    0.331829   -0.220044
    0.605769    0.803832    0.052300   -0.316958    0.000000   -2.960791    1.898798    8.181428    2.762100    0.000042    0.824317    0.002413    3.384340    0.364334   -0.214261
    0.615385    0.801948    0.064025   -0.405565    0.000000   -3.138175    1.901955    8.345598    2.827897    0.000043    0.823992    0.002413    3.384340    0.396820   -0.207969
    0.625000    0.799635    0.078801   -0.503777    0.000000   -3.333527    1.904365    8.509341    2.893296    0.000044    0.823668    0.002413    3.384340    0.429280   -0.201181
    0.634615    0.796790    0.096865   -0.606794    0.000000   -3.537497    1.906034    8.672558    2.958190    0.000044    0.823343    0.002413    3.384340    0.461696   -0.193916
    0.644231    0.793305    0.118284   -0.708977    0.000000   -3.739128    1.907019    8.835130    3.022448    0.000045    0.823020    0.002413    3.384340    0.494050   -0.186200
    0.653846    0.789075    0.142941   -0.805077    0.000000   -3.928246    1.907417    8.996915    3.085911    0.000046    0.822697    0.002413    3.384340    0.526315   -0.178064
    0.663462    0.784002    0.170572   -0.891246    0.000000   -4.097449    1.907350    9.157750    3.148393    0.000047    0.822376    0.002413    3.384340    0.558458   -0.169548
    0.673077    0.778001    0.200817   -0.965476    0.000000   -4.242929    1.906942    9.317455    3.209693    0.000047    0.822056    0.002413    3.384340    0.590440   -0.160699
    0.682692    0.770999    0.233275   -1.027434    0.000000   -4.364146    1.906305    9.475831    3.269593    0.000048    0.821738    0.002413    3.384340    0.622218   -0.151573
    0.692308    0.762939    0.267561   -1.077961    0.000000   -4.462835    1.905530    9.632668    3.327869    0.000049    0.821423    0.002413    3.384340    0.653744   -0.142231
    0.701923    0.753780    0.303325   -1.118520    0.000000   -4.541920    1.904685    9.787746    3.384299    0.000050    0.821111    0.002413    3.384340    0.684969   -0.132740
    0.711538    0.743491    0.340268   -1.150768    0.000000   -4.604685    1.903818    9.940835    3.438670    0.000050    0.820802    0.002413    3.384340    0.715839   -0.123171
    0.721154    0.732055    0.378148   -1.176288    0.000000   -4.654252    1.902960   10.091704    3.490779    0.000051    0.820497    0.002413    3.384340    0.746303   -0.113599
    0.730769    0.719461    0.416767   -1.196463    0.000000   -4.693346    1.902129   10.240117    3.540445    0.000052    0.820197    0.002413    3.384340    0.776307   -0.104098
    0.740385    0.705709    0.455972   -1.212441    0.000000   -4.724219    1.901336   10.385836    3.587507    0.000053    0.819902    0.002413    3.384340    0.805798   -0.094744
    0.750000    0.690805    0.495642   -1.225141    0.000000   -4.748673    1.900587   10.528625    3.631830    0.000053    0.819613    0.002413    3.384340    0.834724   -0.085609
    0.759615    0.674761    0.535681   -1.235285    0.000000   -4.768124    1.899882   10.668250    3.673308    0.000054    0.819330    0.002413    3.384340    0.863032   -0.076762
    0.769231    0.657591    0.576017   -1.243434    0.000000   -4.783671    1.899221   10.804479    3.711863    0.000055    0.819054    0.002413    3.384340    0.890674   -0.068267
    0.778846    0.639318    0.616591   -1.250022    0.000000   -4.796162    1.898602   10.937085    3.747447    0.000055    0.818784    0.002413    3.384340    0.917598   -0.060184
    0.788462    0.619965    0.657359   -1.255382    0.000000   -4.806250    1.898021   11.065843    3.780044    0.000056    0.818523    0.002413    3.384340    0.943756   -0.052561
    0.798077    0.599560    0.698285   -1.259772    0.000000   -4.814439    1.897476   11.190536    3.809667    0.000056    0.818269    0.002413    3.384340    0.969103   -0.045442
    0.807692    0.578133    0.739341   -1.263392    0.000000   -4.821120    1.896964   11.310952    3.836360    0.000057    0.818024    0.002413    3.384340    0.993592   -0.038861
    0.817308    0.555718    0.780504   -1.266396    0.000000   -4.826595    1.896481   11.426885    3.860193    0.000058    0.817788    0.002413    3.384340    1.017180   -0.032840
    0.826923    0.532350    0.821757   -1.268904    0.000000   -4.831100    1.896024   11.538138    3.881264    0.000058    0.817562    0.002413    3.384340    1.039824   -0.027395
    0.836538    0.508068    0.863085   -1.271013    0.000000   -4.834820    1.895591   11.644518    3.899694    0.000059    0.817345    0.002413    3.384340    1.061484   -0.022530
    0.846154    0.482910    0.904476   -1.272795    0.000000   -4.837901    1.895180   11.745843    3.915626    0.000059    0.817139    0.002413    3.384340    1.082122   -0.018239
    0.855769    0.456920    0.945920   -1.274311    0.000000   -4.840460    1.894788   11.841938    3.929222    0.000060    0.816943    0.002413    3.384340    1.101700   -0.014509
    0.865385    0.430140    0.987410   -1.275609    0.000000   -4.842587    1.894413   11.932638    3.940659    0.000060    0.816758    0.002413    3.384340    1.120184   -0.011317
    0.875000    0.402616    1.028939   -1.276725    0.000000   -4.844358    1.894053   12.017785    3.950126    0.000060    0.816585    0.002413    3.384340    1.137541   -0.008632
    0.884615    0.374395    1.070502   -1.277690    0.000000   -4.845832    1.893707   12.097233    3.957819    0.000061    0.816423    0.002413    3.384340    1.153739   -0.006417
    0.894231    0.345526    1.112094   -1.278530    0.000000   -4.847056    1.893372   12.170843    3.963942    0.000061    0.816273    0.002413    3.384340    1.168751   -0.004631
    0.903846    0.316056    1.153712   -1.279265    0.000000   -4.848072    1.893048   12.238488    3.968696    0.000062    0.816135    0.002413    3.384340    1.182549   -0.003227
    0.913462    0.286039    1.195352   -1.279912    0.000000   -4.848910    1.892732   12.300051    3.972281    0.000062    0.816009    0.002413    3.384340    1.195108   -0.002155
    0.923077    0.255524    1.237012   -1.280483    0.000000   -4.849597    1.892424   12.355425    3.974893    0.000062    0.815896    0.002413    3.384340    1.206407   -0.001368
    0.932692    0.224565    1.278690   -1.280992    0.000000   -4.850154    1.892123   12.404512    3.976715    0.000062    0.815796    0.002413    3.384340    1.216425   -0.000813
    0.942308    0.193215    1.320383   -1.281447    0.000000   -4.850601    1.891827   12.447230    3.977917    0.000063    0.815709    0.002413    3.384340    1.225143   -0.000444
    0.951923    0.161530    1.362090   -1.281857    0.000000   -4.850951    1.891535   12.483501    3.978655    0.000063    0.815635    0.002413    3.384340    1.232548   -0.000217
    0.961538    0.129563    1.403810   -1.282228    0.000000   -4.851218    1.891246   12.513265    3.979064    0.000063    0.815574    0.002413    3.384340    1.238624   -0.000089
    0.971154    0.097370    1.445542   -1.282567    0.000000   -4.851412    1.890959   12.536468    3.979260    0.000063    0.815527    0.002413    3.384340    1.243362   -0.000028
    0.980769    0.065008    1.487284   -1.282877    0.000000   -4.851541    1.890673   12.553071    3.979333    0.000063    0.815493    0.002413    3.384340    1.246752   -0.000006
    0.990385    0.032532    1.529036   -1.283164    0.000000   -4.851613    1.890388   12.563044    3.979350    0.000063    0.815472    0.002413    3.384340    1.248789   -0.000000
    1.000000    0.000000    1.570796   -1.283420    0.000000   -4.851636    1.890121   12.566371    3.979351    0.000063    0.815465    0.002413    3.384340    1.249469    0.000000
