           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.041000    0.141073   -1.329918   -1.675808   -0.423106       12.830332       -5.541696    0.063441    0.000537    0.000000    3.474421
    0.041500    0.142759   -1.327007   -1.675252   -0.428169       12.830332       -5.541696    0.064990    0.000564    0.000000    3.474421
    0.042000    0.144444   -1.324097   -1.674689   -0.433228       12.830332       -5.541696    0.066558    0.000591    0.000000    3.474421
    0.042500    0.146128   -1.321188   -1.674119   -0.438284       12.830332       -5.541696    0.068143    0.000619    0.000000    3.474421
    0.043000    0.147811   -1.318280   -1.673542   -0.443336       12.830332       -5.541696    0.069748    0.000648    0.000000    3.474421
    0.043500    0.149493   -1.315374   -1.672959   -0.448384       12.830332       -5.541696    0.071370    0.000679    0.000000    3.474421
    0.044000    0.151173   -1.312468   -1.672369   -0.453429       12.830332       -5.541696    0.073011    0.000710    0.000000    3.474421
    0.044500    0.152852   -1.309563   -1.671773   -0.458470       12.830332       -5.541696    0.074670    0.000742    0.000000    3.474421
    0.045000    0.154529   -1.306659   -1.671170   -0.463508       12.830332       -5.541696    0.076348    0.000776    0.000000    3.474421
    0.045500    0.156206   -1.303757   -1.670560   -0.468541       12.830332       -5.541696    0.078044    0.000811    0.000000    3.474421
    0.046000    0.157881   -1.300855   -1.669944   -0.473571       12.830332       -5.541696    0.079758    0.000846    0.000000    3.474421
    0.046500    0.159554   -1.297955   -1.669321   -0.478596       12.830332       -5.541696    0.081490    0.000883    0.000000    3.474421
    0.047000    0.161227   -1.295055   -1.668691   -0.483618       12.830332       -5.541696    0.083241    0.000921    0.000000    3.474421
    0.047500    0.162897   -1.292157   -1.668055   -0.488636       12.830332       -5.541696    0.085010    0.000960    0.000000    3.474421
    0.048000    0.164567   -1.289260   -1.667412   -0.493650       12.830332       -5.541696    0.086797    0.001001    0.000000    3.474421
    0.048500    0.166235   -1.286364   -1.666763   -0.498659       12.830332       -5.541696    0.088603    0.001042    0.000000    3.474421
    0.049000    0.167902   -1.283469   -1.666107   -0.503665       12.830332       -5.541696    0.090426    0.001085    0.000000    3.474421
    0.049500    0.169567   -1.280575   -1.665444   -0.508666       12.830332       -5.541696    0.092268    0.001130    0.000000    3.474421
    0.050000    0.171231   -1.277682   -1.664775   -0.513664       12.830332       -5.541696    0.094128    0.001175    0.000000    3.474421
    0.050500    0.172893   -1.274791   -1.664099   -0.518657       12.830332       -5.541696    0.096006    0.001222    0.000000    3.474421
    0.051000    0.174554   -1.271900   -1.663416   -0.523645       12.830332       -5.541696    0.097902    0.001270    0.000000    3.474421
    0.051500    0.176214   -1.269011   -1.662727   -0.528630       12.830332       -5.541696    0.099817    0.001320    0.000000    3.474421
    0.052000    0.177872   -1.266123   -1.662032   -0.533610       12.830332       -5.541696    0.101749    0.001371    0.000000    3.474421
    0.052500    0.179528   -1.263237   -1.661329   -0.538585       12.830332       -5.541696    0.103700    0.001424    0.000000    3.474421
    0.053000    0.181183   -1.260351   -1.660620   -0.543557       12.830332       -5.541696    0.105668    0.001478    0.000000    3.474421
    0.053500    0.182836   -1.257467   -1.659905   -0.548523       12.830332       -5.541696    0.107655    0.001533    0.000000    3.474421
    0.054000    0.184488   -1.254584   -1.659183   -0.553485       12.830332       -5.541696    0.109660    0.001590    0.000000    3.474421
    0.054500    0.186139   -1.251702   -1.658454   -0.558443       12.830332       -5.541696    0.111682    0.001649    0.000000    3.474421
    0.055000    0.187787   -1.248822   -1.657719   -0.563396       12.830332       -5.541696    0.113723    0.001709    0.000000    3.474421
    0.055500    0.189434   -1.245943   -1.656977   -0.568344       12.830332       -5.541696    0.115782    0.001771    0.000000    3.474421
    0.056000    0.191080   -1.243065   -1.656229   -0.573288       12.830332       -5.541696    0.117858    0.001834    0.000000    3.474421
    0.056500    0.192724   -1.240188   -1.655474   -0.578227       12.830332       -5.541696    0.119953    0.001899    0.000000    3.474421
    0.057000    0.194366   -1.237313   -1.654713   -0.583161       12.830332       -5.541696    0.122066    0.001965    0.000000    3.474421
    0.057500    0.196007   -1.234439   -1.653945   -0.588090       12.830332       -5.541696    0.124196    0.002034    0.000000    3.474421
    0.058000    0.197646   -1.231567   -1.653170   -0.593015       12.830332       -5.541696    0.126345    0.002104    0.000000    3.474421
    0.058500    0.199283   -1.228695   -1.652389   -0.597935       12.830332       -5.541696    0.128511    0.002176    0.000000    3.474421
    0.059000    0.200919   -1.225826   -1.651601   -0.602849       12.830332       -5.541696    0.130695    0.002249    0.000000    3.474421
    0.059500    0.202553   -1.222957   -1.650807   -0.607759       12.830332       -5.541696    0.132897    0.002325    0.000000    3.474421
    0.060000    0.204185   -1.220090   -1.650007   -0.612663       12.830332       -5.541696    0.135117    0.002402    0.000000    3.474421
    0.060500    0.205816   -1.217224   -1.649199   -0.617563       12.830332       -5.541696    0.137354    0.002481    0.000000    3.474421
    0.061000    0.207445   -1.214360   -1.648386   -0.622457       12.830332       -5.541696    0.139610    0.002562    0.000000    3.474421
    0.061500    0.209072   -1.211497   -1.647565   -0.627347       12.830332       -5.541696    0.141883    0.002645    0.000000    3.474421
    0.062000    0.210697   -1.208636   -1.646739   -0.632231       12.830332       -5.541696    0.144174    0.002730    0.000000    3.474421
    0.062500    0.212321   -1.205776   -1.645905   -0.637110       12.830332       -5.541696    0.146483    0.002817    0.000000    3.474421
    0.063000    0.213943   -1.202917   -1.645066   -0.641983       12.830332       -5.541696    0.148809    0.002906    0.000000    3.474421
    0.063500    0.215563   -1.200060   -1.644219   -0.646852       12.830332       -5.541696    0.151153    0.002996    0.000000    3.474421
    0.064000    0.217181   -1.197204   -1.643367   -0.651714       12.830332       -5.541696    0.153515    0.003089    0.000000    3.474421
    0.064500    0.218798   -1.194350   -1.642507   -0.656572       12.830332       -5.541696    0.155894    0.003184    0.000000    3.474421
    0.065000    0.220412   -1.191498   -1.641642   -0.661424       12.830332       -5.541696    0.158291    0.003281    0.000000    3.474421
    0.065500    0.222025   -1.188646   -1.640769   -0.666271       12.830332       -5.541696    0.160706    0.003381    0.000000    3.474421
    0.066000    0.223636   -1.185797   -1.639891   -0.671112       12.830332       -5.541696    0.163138    0.003482    0.000000    3.474421
    0.066500    0.225245   -1.182949   -1.639006   -0.675947       12.830332       -5.541696    0.165588    0.003586    0.000000    3.474421
    0.067000    0.226853   -1.180102   -1.638114   -0.680777       12.830332       -5.541696    0.168055    0.003692    0.000000    3.474421
    0.067500    0.228458   -1.177257   -1.637216   -0.685602       12.830332       -5.541696    0.170540    0.003800    0.000000    3.474421
    0.068000    0.230061   -1.174414   -1.636311   -0.690420       12.830332       -5.541696    0.173043    0.003910    0.000000    3.474421
    0.068500    0.231663   -1.171572   -1.635400   -0.695233       12.830332       -5.541696    0.175563    0.004023    0.000000    3.474421
    0.069000    0.233263   -1.168732   -1.634483   -0.700040       12.830332       -5.541696    0.178100    0.004138    0.000000    3.474421
    0.069500    0.234860   -1.165893   -1.633559   -0.704842       12.830332       -5.541696    0.180655    0.004255    0.000000    3.474421
    0.070000    0.236456   -1.163056   -1.632629   -0.709637       12.830332       -5.541696    0.183227    0.004375    0.000000    3.474421
    0.070500    0.238050   -1.160221   -1.631692   -0.714427       12.830332       -5.541696    0.185817    0.004497    0.000000    3.474421
    0.071000    0.239642   -1.157387   -1.630749   -0.719210       12.830332       -5.541696    0.188424    0.004622    0.000000    3.474421
    0.071500    0.241232   -1.154555   -1.629799   -0.723988       12.830332       -5.541696    0.191048    0.004749    0.000000    3.474421
    0.072000    0.242820   -1.151724   -1.628843   -0.728760       12.830332       -5.541696    0.193690    0.004879    0.000000    3.474421
    0.072500    0.244405   -1.148896   -1.627881   -0.733525       12.830332       -5.541696    0.196349    0.005011    0.000000    3.474421
    0.073000    0.245989   -1.146068   -1.626912   -0.738285       12.830332       -5.541696    0.199026    0.005146    0.000000    3.474421
    0.073500    0.247571   -1.143243   -1.625936   -0.743038       12.830332       -5.541696    0.201719    0.005283    0.000000    3.474421
    0.074000    0.249151   -1.140419   -1.624955   -0.747785       12.830332       -5.541696    0.204430    0.005423    0.000000    3.474421
    0.074500    0.250729   -1.137597   -1.623967   -0.752526       12.830332       -5.541696    0.207158    0.005566    0.000000    3.474421
    0.075000    0.252304   -1.134777   -1.622972   -0.757261       12.830332       -5.541696    0.209904    0.005711    0.000000    3.474421
    0.075500    0.253878   -1.131958   -1.621971   -0.761990       12.830332       -5.541696    0.212666    0.005859    0.000000    3.474421
    0.076000    0.255450   -1.129141   -1.620964   -0.766712       12.830332       -5.541696    0.215446    0.006010    0.000000    3.474421
    0.076500    0.257019   -1.126326   -1.619951   -0.771428       12.830332       -5.541696    0.218243    0.006164    0.000000    3.474421
    0.077000    0.258586   -1.123513   -1.618931   -0.776137       12.830332       -5.541696    0.221057    0.006320    0.000000    3.474421
    0.077500    0.260152   -1.120702   -1.617905   -0.780840       12.830332       -5.541696    0.223888    0.006479    0.000000    3.474421
    0.078000    0.261715   -1.117892   -1.616872   -0.785536       12.830332       -5.541696    0.226736    0.006641    0.000000    3.474421
    0.078500    0.263276   -1.115084   -1.615833   -0.790226       12.830332       -5.541696    0.229601    0.006806    0.000000    3.474421
